순위	팀명	경기	승	패	무	승률	게임차	최근10경기	연속	홈	방문
1	한화	86	51	33	2	0.607	0	7승1무2패	5승	27-2-13	24-0-20
2	LG	87	48	37	2	0.565	3.5	4승0무6패	3승	27-0-17	21-2-20
3	롯데	88	47	38	3	0.553	4.5	5승0무5패	1승	24-2-19	23-1-19
4	KIA	87	45	39	3	0.536	6	6승0무4패	3패	26-1-16	19-2-23
5	SSG	86	43	40	3	0.518	7.5	5승0무5패	1패	22-3-18	21-0-22
6	KT	88	44	41	3	0.518	7.5	5승0무5패	1승	24-1-21	20-2-20
7	삼성	87	43	43	1	0.500	9	4승0무6패	3패	27-0-19	16-1-24
8	NC	84	39	40	5	0.494	9.5	5승1무4패	3승	14-0-16	25-5-24
9	두산	87	35	49	3	0.417	16	5승0무5패	1패	18-3-24	17-0-25
10	키움	90	26	61	3	0.299	26.5	3승0무7패	7패	16-2-33	10-1-28
